ID,Gender,Residence Zone,Education Level,Years of Experience,Desired Salary,Status,Age,Marital Status,Residence Distance,Job Title,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
E23,Male,Zone C,Bachelor's Degree,Beginner,High,Offered,Middle,Divorced,Medium,Manufacturing Analyst Staff,Critical Thinking,Problem Solving,Data Visualization,-,-,Time Management,Team Work,-,-,-
E24,Male,Zone I,Master's Degree,Intermediate,Medium,Offered,Young,Married,Far,Technology Analyst Manager,-,-,Data Visualization,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E25,Male,Zone G,Master's Degree,Advanced,High,Offered,Middle,Divorced,Medium,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E26,Other,Zone F,Master's Degree,Beginner,High,Offered,Young,Single,Near,Public Relations Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,Adaptability,-,-
E27,Male,Zone I,PhD,Advanced,Medium,Offered,Young,Single,Far,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E28,Male,Zone G,Master's Degree,Advanced,High,Offered,Middle,Divorced,Medium,Manufacturing Design Engineer Manager,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E29,Female,Zone E,Bachelor's Degree,Advanced,High,Offered,Old,Widowed,Near,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E30,Other,Zone G,Master's Degree,Beginner,High,Interviewing,Middle,Widowed,Medium,Food Service Manager,Critical Thinking,-,-,Communication,-,Time Management,-,Adaptability,-,-
E31,Female,Zone I,High School,Advanced,High,Interviewing,Old,Widowed,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E32,Female,Zone F,High School,Intermediate,High,Offered,Middle,Widowed,Near,Management Accountant Staff,-,-,Data Visualization,Communication,-,-,-,Adaptability,Creativity,-
E33,Female,Zone C,Bachelor's Degree,Advanced,Medium,Offered,Young,Single,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E34,Other,Zone D,Master's Degree,Advanced,High,Offered,Old,Divorced,Medium,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E35,Female,Zone H,High School,Intermediate,Low,Interviewing,Middle,Married,Medium,Production Planning Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,-,Creativity,Leadership
E36,Female,Zone J,High School,Beginner,High,Interviewing,Middle,Divorced,Far,Human Resources Staff,-,-,-,Communication,Analytical Thinking,-,-,Adaptability,Creativity,Leadership
E37,Other,Zone B,High School,Beginner,High,Offered,Old,Divorced,Far,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E38,Other,Zone A,PhD,Advanced,Medium,Interviewing,Middle,Single,Far,Procurement Material Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E39,Other,Zone J,Bachelor's Degree,Advanced,Low,Offered,Old,Single,Far,Material Control Staff,-,-,-,Communication,Analytical Thinking,-,-,-,Creativity,-
E40,Female,Zone F,Master's Degree,Advanced,Medium,Offered,Middle,Single,Near,Public Relations Enginner Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,-,Adaptability,Creativity,-
E41,Male,Zone E,High School,Advanced,Low,Interviewing,Middle,Single,Near,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E42,Male,Zone G,Bachelor's Degree,Advanced,Medium,Offered,Old,Widowed,Medium,Customer Care Manager,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E43,Other,Zone G,Master's Degree,Intermediate,High,Interviewing,Young,Married,Medium,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E44,Male,Zone A,High School,Advanced,High,Offered,Middle,Divorced,Far,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E45,Other,Zone A,PhD,Advanced,Low,Offered,Middle,Single,Far,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E46,Male,Zone G,High School,Advanced,High,Interviewing,Middle,Divorced,Medium,Manufacturing Accountant Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E47,Other,Zone A,Master's Degree,Beginner,High,Interviewing,Old,Divorced,Far,Technology Analyst Manager,-,-,Data Visualization,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E48,Female,Zone A,PhD,Beginner,Low,Offered,Young,Single,Far,Quality Control Manager,-,Problem Solving,-,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E49,Other,Zone J,Bachelor's Degree,Advanced,Low,Interviewing,Middle,Single,Far,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E50,Male,Zone H,Master's Degree,Beginner,Medium,Interviewing,Old,Divorced,Medium,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E51,Female,Zone C,High School,Beginner,Low,Offered,Old,Single,Medium,Quantity Surveyor Staff,-,-,-,Communication,-,Time Management,Team Work,-,Creativity,Leadership
E52,Other,Zone F,Master's Degree,Advanced,High,Offered,Young,Single,Near,Manufacturing Sales Representative Manager,-,-,Data Visualization,-,-,Time Management,Team Work,-,-,-
E53,Other,Zone F,High School,Advanced,Medium,Offered,Middle,Single,Near,Manufacturing Facilities Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,Leadership
E54,Male,Zone E,Master's Degree,Advanced,High,Offered,Old,Divorced,Near,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E55,Other,Zone H,PhD,Advanced,Medium,Offered,Old,Single,Medium,Chief Executive Officer,Critical Thinking,-,-,Communication,Analytical Thinking,-,-,-,-,Leadership
E56,Male,Zone H,Bachelor's Degree,Beginner,High,Interviewing,Young,Single,Medium,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E57,Male,Zone A,PhD,Advanced,High,Offered,Old,Divorced,Far,Chief Financial Officer,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,-,Adaptability,Creativity,Leadership
E58,Female,Zone E,High School,Advanced,High,Offered,Old,Widowed,Near,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E59,Male,Zone A,High School,Advanced,Low,Offered,Middle,Married,Far,HSE Engineer Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E60,Male,Zone H,PhD,Advanced,Low,Interviewing,Middle,Single,Medium,Manufacturing Company Secretary,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,-,-
E61,Female,Zone H,High School,Advanced,Medium,Offered,Young,Married,Medium,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E62,Other,Zone I,PhD,Advanced,Medium,Interviewing,Middle,Widowed,Far,Chief Technology Officer,Critical Thinking,-,Data Visualization,-,-,Time Management,-,-,Creativity,Leadership
E63,Female,Zone I,Bachelor's Degree,Advanced,Low,Offered,Young,Single,Far,Supply Chain Staff,-,Problem Solving,-,-,-,Time Management,-,Adaptability,-,-
E64,Other,Zone J,PhD,Intermediate,Medium,Interviewing,Middle,Widowed,Far,Manufacturing System Technology Staff,Critical Thinking,Problem Solving,-,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E65,Male,Zone C,High School,Intermediate,Medium,Interviewing,Middle,Married,Medium,Management Accountant Staff,-,-,Data Visualization,Communication,-,-,-,Adaptability,Creativity,-
E66,Male,Zone B,Master's Degree,Advanced,Medium,Offered,Middle,Married,Far,Quality Assurance Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E67,Female,Zone I,Bachelor's Degree,Beginner,High,Offered,Middle,Divorced,Far,Administrative Staff,-,-,-,Communication,Analytical Thinking,Time Management,-,-,Creativity,Leadership
E68,Female,Zone D,High School,Intermediate,Medium,Offered,Young,Married,Medium,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E69,Male,Zone D,Bachelor's Degree,Advanced,High,Offered,Young,Single,Medium,Digital Advertising Manager,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,-,Adaptability,-,Leadership
E70,Other,Zone A,Bachelor's Degree,Beginner,High,Interviewing,Young,Married,Far,HSE Engineer Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E71,Female,Zone A,Master's Degree,Intermediate,Medium,Interviewing,Middle,Widowed,Far,Manufacturing Sales Representative Manager,-,-,Data Visualization,-,-,Time Management,Team Work,-,-,-
E72,Other,Zone B,PhD,Beginner,Low,Interviewing,Middle,Single,Far,Purchasing Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E73,Other,Zone B,PhD,Advanced,High,Interviewing,Old,Divorced,Far,Chief Marketing Officer,Critical Thinking,-,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,Creativity,-
E74,Other,Zone H,Master's Degree,Advanced,Medium,Offered,Old,Married,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E75,Other,Zone C,PhD,Intermediate,High,Interviewing,Middle,Divorced,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E76,Other,Zone I,Master's Degree,Beginner,Medium,Interviewing,Young,Married,Far,Management Accountant Staff,-,-,Data Visualization,Communication,-,-,-,Adaptability,Creativity,-
E77,Male,Zone H,Bachelor's Degree,Intermediate,High,Interviewing,Middle,Widowed,Medium,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E78,Male,Zone I,Master's Degree,Intermediate,Low,Interviewing,Middle,Single,Far,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E79,Male,Zone H,High School,Beginner,High,Interviewing,Young,Married,Medium,Material Control Staff,-,-,-,Communication,Analytical Thinking,-,-,-,Creativity,-
E80,Male,Zone J,High School,Intermediate,Low,Interviewing,Young,Single,Far,Supply Chain Staff,-,Problem Solving,-,-,-,Time Management,-,Adaptability,-,-
E81,Male,Zone H,Master's Degree,Intermediate,High,Interviewing,Middle,Widowed,Medium,Technology Analyst Staff,-,-,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E82,Female,Zone G,Bachelor's Degree,Beginner,High,Interviewing,Middle,Divorced,Medium,Quality Control Staff,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E83,Other,Zone F,Bachelor's Degree,Advanced,High,Offered,Old,Divorced,Near,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E84,Other,Zone J,Master's Degree,Advanced,Low,Interviewing,Middle,Single,Far,Manufacturing Enginner Manager,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,-,Creativity,-
E85,Female,Zone I,PhD,Advanced,High,Offered,Young,Married,Far,Manufacturing Enginner Manager,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,-,Creativity,-
E86,Other,Zone E,Master's Degree,Intermediate,High,Interviewing,Young,Married,Near,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E87,Female,Zone D,PhD,Intermediate,Low,Offered,Middle,Single,Medium,Public Relations Manager,Critical Thinking,-,Data Visualization,-,-,-,-,Adaptability,-,Leadership
E88,Male,Zone B,Bachelor's Degree,Advanced,Medium,Interviewing,Middle,Married,Far,Food Service Manager,Critical Thinking,-,-,Communication,-,Time Management,-,Adaptability,-,-
E89,Male,Zone F,Bachelor's Degree,Advanced,High,Interviewing,Middle,Married,Near,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E90,Male,Zone A,PhD,Advanced,High,Offered,Old,Widowed,Far,Public Relations Manager,Critical Thinking,-,Data Visualization,-,-,-,-,Adaptability,-,Leadership
E91,Female,Zone G,Master's Degree,Intermediate,Medium,Offered,Young,Single,Medium,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E92,Other,Zone G,Bachelor's Degree,Advanced,Low,Offered,Young,Married,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E93,Female,Zone J,PhD,Beginner,Medium,Offered,Young,Married,Far,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E94,Male,Zone J,Bachelor's Degree,Advanced,High,Offered,Old,Divorced,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E95,Male,Zone H,High School,Advanced,High,Offered,Middle,Divorced,Medium,Food Service Staff,-,Problem Solving,-,Communication,-,-,-,Adaptability,-,-
E96,Male,Zone A,Master's Degree,Advanced,High,Interviewing,Old,Divorced,Far,Management Accountant Manager,-,-,-,Communication,-,-,-,Adaptability,-,-
E97,Male,Zone F,High School,Advanced,Low,Offered,Young,Single,Near,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E98,Male,Zone C,High School,Beginner,High,Offered,Old,Divorced,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E99,Male,Zone I,Master's Degree,Advanced,Low,Offered,Middle,Married,Far,Production Planning Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,-,Creativity,Leadership
E100,Female,Zone A,PhD,Advanced,Low,Interviewing,Old,Married,Far,Public Relations Enginner Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,-,Adaptability,Creativity,-
E101,Other,Zone I,High School,Intermediate,High,Offered,Middle,Married,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E102,Other,Zone D,PhD,Advanced,High,Offered,Middle,Married,Medium,Public Relations Manager,Critical Thinking,-,Data Visualization,-,-,-,-,Adaptability,-,Leadership
E103,Female,Zone H,Master's Degree,Beginner,High,Offered,Old,Divorced,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E104,Other,Zone J,PhD,Advanced,Medium,Offered,Young,Single,Far,Maintenance Technician Manager,-,Problem Solving,Data Visualization,Communication,-,-,-,Adaptability,-,-
E105,Female,Zone D,High School,Beginner,Low,Interviewing,Middle,Single,Medium,Manufacturing System Technology Staff,Critical Thinking,Problem Solving,-,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E106,Female,Zone C,Bachelor's Degree,Intermediate,Medium,Interviewing,Middle,Widowed,Medium,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E107,Other,Zone I,High School,Advanced,High,Offered,Middle,Divorced,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E108,Male,Zone D,High School,Intermediate,Medium,Offered,Middle,Single,Medium,Public Relations Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,Adaptability,-,-
E109,Female,Zone D,PhD,Advanced,Medium,Offered,Middle,Married,Medium,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E110,Other,Zone A,High School,Advanced,Medium,Offered,Middle,Widowed,Far,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E111,Other,Zone E,Master's Degree,Advanced,High,Interviewing,Young,Single,Near,Chief Strategy Officer,-,-,-,-,-,-,-,Adaptability,Creativity,Leadership
E112,Other,Zone I,PhD,Beginner,High,Offered,Middle,Divorced,Far,Manufacturing System Engineer Staff,Critical Thinking,-,-,-,-,-,Team Work,-,Creativity,Leadership
E113,Female,Zone H,Bachelor's Degree,Advanced,Medium,Offered,Young,Married,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E114,Female,Zone F,PhD,Advanced,High,Offered,Middle,Divorced,Near,Chief Technology Officer,Critical Thinking,-,Data Visualization,-,-,Time Management,-,-,Creativity,Leadership
E115,Other,Zone D,PhD,Advanced,High,Offered,Old,Widowed,Medium,Administrative Manager,Critical Thinking,Problem Solving,-,Communication,-,Time Management,Team Work,Adaptability,Creativity,Leadership
E116,Male,Zone C,Bachelor's Degree,Intermediate,Medium,Offered,Young,Single,Medium,HSE Analyst Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,Team Work,-,-,-
E117,Other,Zone D,PhD,Beginner,Low,Interviewing,Middle,Single,Medium,Technology Manager,-,-,-,-,-,Time Management,-,Adaptability,-,Leadership
E118,Female,Zone E,High School,Beginner,Low,Interviewing,Young,Single,Near,Quality Assurance Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E119,Other,Zone A,High School,Intermediate,High,Offered,Middle,Widowed,Far,Technology Staff,Critical Thinking,Problem Solving,-,-,-,Time Management,Team Work,Adaptability,-,Leadership
E120,Male,Zone J,PhD,Beginner,Low,Offered,Old,Married,Far,Purchasing Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E121,Female,Zone F,Master's Degree,Advanced,High,Interviewing,Young,Single,Near,Human Resources Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,-,-,-
E122,Female,Zone F,High School,Beginner,High,Interviewing,Old,Divorced,Near,Manufacturing Sales Representative Staff,Critical Thinking,-,Data Visualization,-,-,-,-,-,Creativity,-
E123,Female,Zone D,Bachelor's Degree,Advanced,Medium,Offered,Old,Widowed,Medium,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
E124,Other,Zone J,PhD,Beginner,Low,Offered,Middle,Single,Far,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E125,Other,Zone J,Bachelor's Degree,Advanced,Medium,Interviewing,Middle,Single,Far,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E126,Female,Zone D,Bachelor's Degree,Beginner,Medium,Interviewing,Middle,Married,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E127,Female,Zone H,PhD,Intermediate,Medium,Interviewing,Old,Widowed,Medium,Maintenance Technician Staff,-,-,-,-,Analytical Thinking,Time Management,-,-,-,-
E128,Female,Zone A,Bachelor's Degree,Intermediate,Medium,Offered,Young,Married,Far,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E129,Other,Zone J,Bachelor's Degree,Beginner,Low,Interviewing,Young,Single,Far,Procurement Material Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E130,Female,Zone E,PhD,Advanced,Medium,Interviewing,Young,Single,Near,HSE Analyst Manager,Critical Thinking,-,Data Visualization,-,-,Time Management,-,Adaptability,Creativity,Leadership
E131,Other,Zone F,Master's Degree,Intermediate,High,Offered,Young,Single,Near,Manufacturing Company Secretary,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,-,-
E132,Other,Zone J,Bachelor's Degree,Advanced,Low,Interviewing,Middle,Single,Far,Customer Care Manager,Critical Thinking,Problem Solving,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E133,Female,Zone I,Bachelor's Degree,Beginner,Medium,Offered,Old,Married,Far,Human Resources Staff,-,-,-,Communication,Analytical Thinking,-,-,Adaptability,Creativity,Leadership
E134,Female,Zone B,Bachelor's Degree,Beginner,Medium,Interviewing,Middle,Widowed,Far,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E135,Male,Zone A,Master's Degree,Advanced,Low,Offered,Old,Single,Far,Production Planning Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,-,Creativity,Leadership
E136,Female,Zone F,PhD,Beginner,Medium,Offered,Middle,Married,Near,Management Accountant Manager,-,-,-,Communication,-,-,-,Adaptability,-,-
E137,Other,Zone F,Master's Degree,Advanced,Low,Interviewing,Middle,Married,Near,Quality Assurance Staff,-,Problem Solving,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E138,Male,Zone E,PhD,Intermediate,Medium,Offered,Young,Single,Near,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E139,Male,Zone C,PhD,Beginner,Medium,Interviewing,Middle,Married,Medium,Manufacturing Company Secretary,-,-,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,-,-
E140,Other,Zone F,Master's Degree,Beginner,Medium,Offered,Young,Single,Near,Manufacturing Design Engineer Staff,-,-,Data Visualization,-,-,-,Team Work,-,-,-
E141,Female,Zone C,High School,Advanced,Low,Offered,Middle,Single,Medium,Technology Analyst Staff,-,-,Data Visualization,Communication,-,Time Management,-,Adaptability,-,Leadership
E142,Male,Zone D,PhD,Advanced,Low,Offered,Middle,Single,Medium,Procurement Material Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E143,Female,Zone C,High School,Beginner,High,Offered,Young,Single,Medium,Quality Control Staff,-,Problem Solving,Data Visualization,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E144,Other,Zone F,Master's Degree,Intermediate,High,Interviewing,Middle,Single,Near,Manufacturing Risk Staff,Critical Thinking,-,Data Visualization,Communication,Analytical Thinking,Time Management,-,Adaptability,Creativity,-
E145,Other,Zone E,High School,Advanced,Medium,Interviewing,Middle,Widowed,Near,Public Relations Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,Adaptability,-,-
E146,Female,Zone H,Bachelor's Degree,Beginner,Medium,Offered,Young,Married,Medium,Digital Advertising Staff,Critical Thinking,Problem Solving,Data Visualization,Communication,-,-,-,-,-,-
E147,Male,Zone F,High School,Advanced,Low,Offered,Young,Single,Near,Public Relations Staff,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,Adaptability,-,-
